year_film,year,ceremony,award,nominee,film,winner
1986,1987,44,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Farrah Fawcett,Nazi Hunter: The Beate Klarsfeld Story,False
1986,1987,44,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Amy Irving,Anastasia: The Mystery of Anna,False
1986,1987,44,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Vanessa Redgrave,Second Serve,False
1986,1987,44,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Marlo Thomas,Nobody's Child,False
1986,1987,44,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Garner,Promise,True
1986,1987,44,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Woods,Promise,True
1986,1987,44,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jan Niklas,Peter The Great,False
1986,1987,44,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,John Ritter,Unnatural Causes,False
1986,1987,44,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mark Harmon,"Deliberate Stranger, The",False
1986,1987,44,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",True
1986,1987,44,Best Performance by an Actress In A Television Series - Drama,Joan Collins,Dynasty (1981-1989),False
1986,1987,44,Best Performance by an Actress In A Television Series - Drama,Tyne Daly,Cagney & Lacey,False
1986,1987,44,Best Performance by an Actress In A Television Series - Drama,Sharon Gless,Cagney & Lacey,False
1986,1987,44,Best Performance by an Actress In A Television Series - Drama,Connie Sellecca,Hotel,False
1986,1987,44,Best Performance by an Actor In A Television Series - Drama,Edward Woodward,"Equalizer, The",True
1986,1987,44,Best Performance by an Actor In A Television Series - Drama,William Devane,Knots Landing,False
1986,1987,44,Best Performance by an Actor In A Television Series - Drama,John Forsythe,Dynasty (1981-1989),False
1986,1987,44,Best Performance by an Actor In A Television Series - Drama,Don Johnson,Miami Vice,False
1986,1987,44,Best Performance by an Actor In A Television Series - Drama,Tom Selleck,"Magnum, P. I.",False
1986,1987,44,Best Performance by an Actress in a Television Series - Musical or Comedy,Cybill Shepherd,Moonlighting,True
1986,1987,44,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,"Golden Girls, The",False
1986,1987,44,Best Performance by an Actress in a Television Series - Musical or Comedy,Estelle Getty,"Golden Girls, The",False
1986,1987,44,Best Performance by an Actress in a Television Series - Musical or Comedy,Rue McClanahan,"Golden Girls, The",False
1986,1987,44,Best Performance by an Actress in a Television Series - Musical or Comedy,Betty White,"Golden Girls, The",False
1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Bruce Willis,Moonlighting,True
1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False
1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Danza,Who's the Boss?,False
1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Family Ties,False
1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Bill Cosby,"Cosby Show, The",False
1986,1987,44,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Olivia de Havilland,Anastasia: The Mystery of Anna,True
1986,1987,44,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Piper Laurie,Promise,False
1986,1987,44,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Geraldine Page,Nazi Hunter: The Beate Klarsfeld Story,False
1986,1987,44,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Lilli Palmer,Peter The Great,False
1986,1987,44,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rhea Perlman,Cheers,False
1986,1987,44,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Justine Bateman,Family Ties,False
1986,1987,44,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jan Niklas,Anastasia: The Mystery of Anna,True
1986,1987,44,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tom Conti,Nazi Hunter: The Beate Klarsfeld Story,False
1986,1987,44,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Hillerman,"Magnum, P. I.",False
1986,1987,44,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Trevor Howard,Christmas Eve,False
1986,1987,44,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ron Leibman,Christmas Eve,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Sally Kirkland,Anna,True
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,Fatal Attraction,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Barfly,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Rachel Levin,Gaby: A True Story,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Barbra Streisand,Nuts,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Drama,Michael Douglas,Wall Street,True
1987,1988,45,Best Performance by an Actor in a Motion Picture - Drama,John Lone,"Last Emperor, The",False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Ironweed,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Drama,Nick Nolte,Weeds,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Cry Freedom,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cher,Moonstruck,True
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Grey,Dirty Dancing,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Holly Hunter,Broadcast News,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Baby Boom,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bette Midler,Outrageous Fortune,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,"Good Morning, Vietnam",True
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny DeVito,Throw Momma From The Train,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,William Hurt,Broadcast News,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Martin,Roxanne,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Patrick Swayze,Dirty Dancing,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nicolas Cage,Moonstruck,False
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Olympia Dukakis,Moonstruck,True
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Norma Aleandro,Gaby: A True Story,False
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Archer,Fatal Attraction,False
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Ramsey,Throw Momma From The Train,False
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Vanessa Redgrave,Prick Up Your Ears,False
1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sean Connery,"Untouchables, The",True
1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Dreyfuss,Nuts,False
1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,R. Lee Ermey,Full Metal Jacket,False
1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,Morgan Freeman,Street Smart,False
1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,Rob Lowe,Square Dance,False
1987,1988,45,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Gena Rowlands,"Betty Ford Story, The",True
1987,1988,45,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ann-Margret,"Two Mrs. Grenvilles, The",False
1987,1988,45,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Farrah Fawcett,Poor Little Rich Girl: The Barbara Hutton Story,False
1987,1988,45,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Shirley MacLaine,Out on a Limb,False
1987,1988,45,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Raquel Welch,Right to Die,False
1987,1988,45,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Randy Quaid,LBJ: The Early Years,True
1987,1988,45,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Woods,In Love and War (TV Movie),False
1987,1988,45,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Alan Arkin,Escape From Sobibor,False
1987,1988,45,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mark Harmon,After the Promise,False
1987,1988,45,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack Lemmon,Long Day's Journey Into Night,False
1987,1988,45,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Judd Nelson,Billionaire Boys Club,False
1987,1988,45,Best Performance by an Actress In A Television Series - Drama,Linda Hamilton,Beauty and the Beast (TV),False
1987,1988,45,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",False
1987,1988,45,Best Performance by an Actress In A Television Series - Drama,Susan Dey,L.A. Law,False
1987,1988,45,Best Performance by an Actress In A Television Series - Drama,Jill Eikenberry,L.A. Law,False
1987,1988,45,Best Performance by an Actress In A Television Series - Drama,Sharon Gless,Cagney & Lacey,False
1987,1988,45,Best Performance by an Actor In A Television Series - Drama,Richard Kiley,"Year in the Life, A",True
1987,1988,45,Best Performance by an Actor In A Television Series - Drama,Harry Hamlin,L.A. Law,False
1987,1988,45,Best Performance by an Actor In A Television Series - Drama,Tom Selleck,"Magnum, P. I.",False
1987,1988,45,Best Performance by an Actor In A Television Series - Drama,Michael Tucker,L.A. Law,False
1987,1988,45,Best Performance by an Actor In A Television Series - Drama,Edward Woodward,"Equalizer, The",False
1987,1988,45,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracey Ullman,"Tracey Ullman Show, The",True
1987,1988,45,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,"Golden Girls, The",False
1987,1988,45,Best Performance by an Actress in a Television Series - Musical or Comedy,Rue McClanahan,"Golden Girls, The",False
1987,1988,45,Best Performance by an Actress in a Television Series - Musical or Comedy,Cybill Shepherd,Moonlighting,False
1987,1988,45,Best Performance by an Actress in a Television Series - Musical or Comedy,Betty White,"Golden Girls, The",False
1987,1988,45,Best Performance by an Actor in a Television Series - Musical or Comedy,Dabney Coleman,"Slap Maxwell Story, The",True
1987,1988,45,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Thicke,Growing Pains,False
1987,1988,45,Best Performance by an Actor in a Television Series - Musical or Comedy,Bruce Willis,Moonlighting,False
1987,1988,45,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Family Ties,False
1987,1988,45,Best Performance by an Actor in a Television Series - Musical or Comedy,John Ritter,Hooperman,False
1987,1988,45,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Claudette Colbert,"Two Mrs. Grenvilles, The",True
1987,1988,45,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Allyce Beasley,Moonlighting,False
1987,1988,45,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Duffy,Newhart,False
1987,1988,45,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christine Lahti,Amerika,False
1987,1988,45,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rhea Perlman,Cheers,False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rutger Hauer,Escape From Sobibor,True
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gordon Thomson,Dynasty (1981-1989),False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kirk Cameron,Growing Pains,False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dabney Coleman,Sworn To Silence,False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Hillerman,"Magnum, P. I.",False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Larroquette,Night Court,False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Brian McNamara,Billionaire Boys Club,False
1987,1988,45,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alan Rachins,L.A. Law,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,"Accused, The",True
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Shirley MacLaine,Madame Sousatzka,True
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Sigourney Weaver,Gorillas in the Mist: The Adventure of Dian Fossey,True
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Christine Lahti,Running on Empty,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,"Cry in the Dark, A",False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Rain Man,True
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,Mississippi Burning,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Tom Hulce,Dominick & Eugene,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Edward James Olmos,Stand and Deliver,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Forest Whitaker,Bird,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Melanie Griffith,Working Girl,True
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jamie Lee Curtis,"Fish Called Wanda, A",False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Irving,Crossing Delancey,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Pfeiffer,Married to the Mob,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Susan Sarandon,Bull Durham,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Big,True
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bob Hoskins,Who Framed Roger Rabbit,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Dirty Rotten Scoundrels,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Cleese,"Fish Called Wanda, A",False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert De Niro,Midnight Run,False
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sigourney Weaver,Working Girl,True
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sônia Braga,Moon Over Parador,False
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Barbara Hershey,"Last Temptation of Christ, The",False
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lena Olin,"Unbearable Lightness of Being, The",False
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Diane Venora,Bird,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Martin Landau,Tucker: The Man and His Dream,True
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,River Phoenix,Running on Empty,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Alec Guinness,Little Dorrit,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Neil Patrick Harris,Clara's Heart,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Raul Julia,Moon Over Parador,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Lou Diamond Phillips,Stand and Deliver,False
1988,1989,46,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ann Jillian,"Ann Jillian Story, The",True
1988,1989,46,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jane Seymour,War and Remembrance (Parts I - VII),False
1988,1989,46,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jane Seymour,"Woman He Loved, The",False
1988,1989,46,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,JoBeth Williams,Baby M,False
1988,1989,46,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Vanessa Redgrave,"Man for All Seasons, A (1988)",False
1988,1989,46,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Caine,Jack the Ripper,True
1988,1989,46,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Stacy Keach,Hemingway,True
1988,1989,46,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Richard Chamberlain,"Bourne Identity, The",False
1988,1989,46,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Anthony Hopkins,"Tenth Man, The",False
1988,1989,46,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack Lemmon,"Murder of Mary Phagan, The",False
1988,1989,46,Best Performance by an Actress In A Television Series - Drama,Susan Dey,L.A. Law,True
1988,1989,46,Best Performance by an Actress In A Television Series - Drama,Jill Eikenberry,L.A. Law,True
1988,1989,46,Best Performance by an Actress In A Television Series - Drama,Sharon Gless,Cagney & Lacey,False
1988,1989,46,Best Performance by an Actress In A Television Series - Drama,Linda Hamilton,Beauty and the Beast (TV),False
1988,1989,46,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",False
1988,1989,46,Best Performance by an Actor In A Television Series - Drama,Ron Perlman,Beauty and the Beast (TV),True
1988,1989,46,Best Performance by an Actor In A Television Series - Drama,Corbin Bernsen,L.A. Law,False
1988,1989,46,Best Performance by an Actor In A Television Series - Drama,Harry Hamlin,L.A. Law,False
1988,1989,46,Best Performance by an Actor In A Television Series - Drama,Carroll O'Connor,In The Heat of the Night (TV),False
1988,1989,46,Best Performance by an Actor In A Television Series - Drama,Ken Wahl,Wiseguy,False
1988,1989,46,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown,True
1988,1989,46,Best Performance by an Actress in a Television Series - Musical or Comedy,Betty White,"Golden Girls, The",False
1988,1989,46,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,"Golden Girls, The",False
1988,1989,46,Best Performance by an Actress in a Television Series - Musical or Comedy,Roseanne Barr,Roseanne,False
1988,1989,46,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracey Ullman,"Tracey Ullman Show, The",False
1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Family Ties,True
1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Judd Hirsch,,True
1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Richard Mulligan,Empty Nest,True
1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False
1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Danza,Who's the Boss?,False
1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,John Goodman,Roseanne,False
1988,1989,46,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Helmond,Who's the Boss?,True
1988,1989,46,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jackée Harry,227 (TV Series)     ,False
1988,1989,46,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Swoosie Kurtz,Baja Oklahoma,False
1988,1989,46,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rhea Perlman,Cheers,False
1988,1989,46,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Susan Ruttan,L.A. Law,False
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Barry Bostwick,War and Remembrance (Parts I - VII),True
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Gielgud,War and Remembrance (Parts I - VII),True
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Derek Jacobi,"Tenth Man, The",False
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Edward James Olmos,Miami Vice,False
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Armand Assante,Jack the Ripper,False
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kirk Cameron,Growing Pains,False
1988,1989,46,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Larry Drake,L.A. Law,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Michelle Pfeiffer,"Fabulous Baker Boys, The",True
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Liv Ullmann,"Rose Garden, The",False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Steel Magnolias,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Music Box,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Andie MacDowell,"Sex, Lies, and Videotape",False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Tom Cruise,Born on the Fourth of July,True
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,My Left Foot,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Dad,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Sea of Love,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Robin Williams,Dead Poets Society,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jessica Tandy,Driving Miss Daisy,True
1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pauline Collins,Shirley Valentine,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meg Ryan,When Harry Met Sally,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,She-Devil,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,"War of The Roses, The",False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Morgan Freeman,Driving Miss Daisy,True
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,Batman,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Crystal,When Harry Met Sally,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Douglas,"War of The Roses, The",False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Martin,Parenthood,False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts,Steel Magnolias,True
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bridget Fonda,Scandal,False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Fricker,My Left Foot,False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laura San Giacomo,"Sex, Lies, and Videotape",False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dianne Wiest,Parenthood,False
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Denzel Washington,Glory,True
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bruce Willis,In Country,False
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Danny Aiello,Do The Right Thing,False
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Marlon Brando,"Dry White Season, A",False
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sean Connery,Indiana Jones and The Last Crusade,False
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Harris,Jacknife,False
1989,1990,47,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Christine Lahti,No Place Like Home,True
1989,1990,47,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Farrah Fawcett,Small Sacrifices,False
1989,1990,47,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Holly Hunter,Roe vs. Wade,False
1989,1990,47,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jane Seymour,War and Remembrance (Parts VIII - XII),False
1989,1990,47,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Loretta Young,Lady in a Corner,False
1989,1990,47,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert Duvall,Lonesome Dove,True
1989,1990,47,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ben Kingsley,Murderers Among Us: The Simon Wiesenthal Story,False
1989,1990,47,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Lane Smith,"Final Days, The",False
1989,1990,47,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Woods,My Name is Bill W.,False
1989,1990,47,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,John Gielgud,War and Remembrance (Parts VIII - XII),False
1989,1990,47,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",True
1989,1990,47,Best Performance by an Actress In A Television Series - Drama,Dana Delaney,China Beach,False
1989,1990,47,Best Performance by an Actress In A Television Series - Drama,Susan Dey,L.A. Law,False
1989,1990,47,Best Performance by an Actress In A Television Series - Drama,Jill Eikenberry,L.A. Law,False
1989,1990,47,Best Performance by an Actress In A Television Series - Drama,Mel Harris,Thirtysomething,False
1989,1990,47,Best Performance by an Actor In A Television Series - Drama,Ken Wahl,Wiseguy,True
1989,1990,47,Best Performance by an Actor In A Television Series - Drama,Corbin Bernsen,L.A. Law,False
1989,1990,47,Best Performance by an Actor In A Television Series - Drama,Harry Hamlin,L.A. Law,False
1989,1990,47,Best Performance by an Actor In A Television Series - Drama,Carroll O'Connor,In The Heat of the Night (TV),False
1989,1990,47,Best Performance by an Actor In A Television Series - Drama,Ken Olin,Thirtysomething,False
1989,1990,47,Best Performance by an Actress in a Television Series - Musical or Comedy,Jamie Lee Curtis,Anything But Love,True
1989,1990,47,Best Performance by an Actress in a Television Series - Musical or Comedy,Kirstie Alley,Cheers,False
1989,1990,47,Best Performance by an Actress in a Television Series - Musical or Comedy,Stephanie Beacham,Sister Kate,False
1989,1990,47,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown,False
1989,1990,47,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracey Ullman,"Tracey Ullman Show, The",False
1989,1990,47,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,True
1989,1990,47,Best Performance by an Actor in a Television Series - Musical or Comedy,John Goodman,Roseanne,False
1989,1990,47,Best Performance by an Actor in a Television Series - Musical or Comedy,Richard Mulligan,Empty Nest,False
1989,1990,47,Best Performance by an Actor in a Television Series - Musical or Comedy,Fred Savage,"Wonder Years, The",False
1989,1990,47,Best Performance by an Actor in a Television Series - Musical or Comedy,Judd Hirsch,Dear John,False
